Id, Latitude, Longitude, X, Y
419038345,44.5837408,48.5040547,4963039.32351529,6159104.2276461
419038346,44.5475606,48.5041779,4959011.7620745,6159124.86574123
419038347,44.5488009,48.5037186,4959149.83163893,6159047.92543702
419038349,44.5485148,48.5039208,4959117.98313261,6159081.79717623
419038350,44.5483169,48.5040035,4959095.95300538,6159095.65079024
419038351,44.5465171,48.5043758,4958895.60018585,6159158.01746233
419038352,44.5323875,48.5044586,4957322.70030874,6159171.88795325
419038353,44.5477556,48.5043425,4959033.4693752,6159152.43911915
419038356,44.5838875,48.5041566,4963055.65408459,6159121.2976254
419038357,44.5369431,48.503884,4957829.827381,6159075.63257658
419038358,44.52202,48.5042447,4956168.59548794,6159136.05589832
419038359,44.5478799,48.50455,4959047.30638791,6159187.1991255
419038361,44.5734979,48.5046052,4961899.08910305,6159196.44614888
419038362,44.5648713,48.504519,4960938.78038377,6159182.00605521
419038364,44.5791408,48.5044063,4962527.25385765,6159163.12675887
419038367,44.5781186,48.5046145,4962413.46307416,6159198.0040723
419038368,44.533842,48.5046138,4957484.6145081,6159197.88680924
419038369,44.5226988,48.5046877,4956244.15915829,6159210.26644728
419038370,44.5289,48.5047,4956934.4735846,6159212.32693007
419038371,44.5223279,48.504592,4956202.87075916,6159194.23490324
419038372,44.5768519,48.5045396,4962272.45467517,6159185.45693382
419038373,44.5225271,48.5045897,4956225.04560172,6159193.84961049
419038377,44.5453978,48.5060239,4958771.00027981,6159434.10817713
419038380,44.5387929,48.50602,4958035.74617507,6159433.45483609
419038381,44.5506771,48.5059082,4959358.68926755,6159414.72574798
419038386,44.5754932,48.5058815,4962121.20488303,6159410.25288604
419038387,44.545283,48.5060551,4958758.22080227,6159439.33490721
419038389,44.55085,48.50603,4959377.93640751,6159435.13006962
419038391,44.5451946,48.506083,4958748.38015928,6159444.00881282
419038394,44.5334877,48.5058362,4957445.17401251,6159402.66410322
419038395,44.5479853,48.5058551,4959059.03946224,6159405.8302833
419038398,44.5764077,48.5058653,4962223.00655736,6159407.5390159
419038403,44.5050714,48.5061196,4954281.88596628,6159450.14017679
419038409,44.5432918,48.5054188,4958536.5614322,6159332.74040776
419038411,44.523105,48.5054861,4956289.37713545,6159344.01460123
419038412,44.5620148,48.5055342,4960620.79625832,6159352.07239212
419038416,44.5470449,48.5056051,4958954.35461309,6159363.94969043
419038418,44.5402997,48.5056539,4958203.4823838,6159372.12476584
419038419,44.5232397,48.5056751,4956304.37187086,6159375.67623549
419038423,44.5726584,48.5056471,4961805.63639053,6159370.98561551
419038426,44.5188895,48.5056739,4955820.10982201,6159375.47520887
419038428,44.5507132,48.5055255,4959362.70790117,6159350.61495328
419038429,44.5516477,48.5055785,4959466.73596532,6159359.49360758
419038431,44.5502539,48.505557,4959311.57885905,6159355.8918882
419038432,44.5343242,48.5055709,4957538.29276656,6159358.22044149
419038436,44.5449742,48.5058075,4958723.84534351,6159397.8562024
419038437,44.53934,48.5058667,4958096.64906848,6159407.77354786
419038440,44.5488357,48.5057399,4959153.70555721,6159386.53168029
419038441,44.5437607,48.5058574,4958588.75914143,6159406.21558572
419038442,44.5811883,48.5057941,4962755.18051505,6159395.61139947
419038444,44.5444302,48.5065537,4958663.28754052,6159522.86251372
419038445,44.5174022,48.5056421,4955654.54434336,6159370.14800508
419038448,44.5349917,48.5064551,4957612.59852667,6159506.34455405
419038451,44.5185184,48.5065376,4955778.79915898,6159520.16535988
419038455,44.5339639,48.5065179,4957498.18435403,6159516.86511692
419038457,44.5518319,48.5064494,4959487.24101552,6159505.38966284
419038458,44.53821,48.5065,4957970.85804388,6159513.86642011
419038459,44.5152037,48.5061298,4955409.80844285,6159451.84891836
419038465,44.5519758,48.5064904,4959503.25989025,6159512.25818092
419038471,44.5067208,48.5064905,4954465.4963344,6159512.27493341
419038474,44.5182254,48.5058991,4955746.18254818,6159413.20128915
419038479,44.5442138,48.5063178,4958639.19800271,6159483.3434328
419038480,44.5380721,48.5063021,4957955.5070861,6159480.71330131
419038482,44.5563688,48.5059676,4959992.2864133,6159424.67661789
419038483,44.5805791,48.5062087,4962687.36468125,6159465.06654868
419038484,44.5472376,48.5060271,4958975.80587897,6159434.64425186
